 
  Impact-EELS Intensity
 
  All energies in meV
 
  High-symmetry points and/or path breaks detected at the following q_idxs:
    1   350   474   845  1147  1394  1569 

  The path spacings (in inverse Angstrom) between these points are:
    4.9858E-03    4.9633E-03    4.9903E-03    4.9902E-03    4.9830E-03    4.9719E-03
 
 
  q_idx    mode_idx      Energy               I_eels
   59         6       129.406242        0.000000000000E+00
   60         1        28.862914        0.149261573900E-03
   60         2        21.755231        0.000000000000E+00
   60         3        21.755231        0.000000000000E+00
   60         4       149.535118        0.202999472792E-04
   60         5       129.372799        0.000000000000E+00
   60         6       129.372799        0.000000000000E+00
   61         1        29.341809        0.144433539958E-03
   61         2        22.113092        0.000000000000E+00
   61         3        22.113092        0.000000000000E+00
   61         4       149.934121        0.191323317982E-04
   61         5       129.337565        0.000000000000E+00
   61         6       129.337565        0.000000000000E+00
   62         1        29.820265        0.139814715823E-03
   62         2        22.470415        0.000000000000E+00
   62         3        22.470415        0.000000000000E+00
   62         4       150.326266        0.180354162922E-04
   62         5       129.300550        0.000000000000E+00
   62         6       129.300550        0.000000000000E+00
   63         1        30.298277        0.135394226332E-03
   63         2        22.827196        0.000000000000E+00
   63         3        22.827196        0.000000000000E+00
   63         4       150.711299        0.170050521235E-04
   63         5       129.261770        0.000000000000E+00
   63         6       129.261770        0.000000000000E+00
   64         1        30.775844        0.131156502031E-03
   64         2        23.183427        0.000000000000E+00
   64         3        23.183427        0.000000000000E+00
   64         4       151.088983        0.160358930272E-04
   64         5       129.221245        0.000000000000E+00
   64         6       129.221245        0.000000000000E+00
   65         1        31.252961        0.127092625971E-03
   65         2        23.539102        0.000000000000E+00
   65         3        23.539102        0.000000000000E+00
   65         4       151.459095        0.151245270652E-04
   65         5       129.178998        0.000000000000E+00
   65         6       129.178998        0.000000000000E+00
   66         1        31.729626        0.123194205949E-03
   66         2        23.894216        0.000000000000E+00
   66         3        23.894216        0.000000000000E+00
   66         4       151.821428        0.142677161607E-04
   66         5       129.135054        0.000000000000E+00
   66         6       129.135054        0.000000000000E+00
   67         1        32.205835        0.119448555534E-03
   67         2        24.248760        0.000000000000E+00
   67         3        24.248760        0.000000000000E+00
   67         4       152.175791        0.134612195273E-04
   67         5       129.089445        0.000000000000E+00
   67         6       129.089445        0.000000000000E+00
   68         1        32.681585        0.115848764526E-03
   68         2        24.602731        0.000000000000E+00
   68         3        24.602731        0.000000000000E+00
   68         4       152.522004        0.127023553394E-04
   68         5       129.042203        0.000000000000E+00
   68         6       129.042203        0.000000000000E+00
   69         1        33.156873        0.112388298376E-03
   69         2        24.956122        0.000000000000E+00
   69         3        24.956122        0.000000000000E+00
   69         4       152.859908        0.119885665519E-04
   69         5       128.993364        0.000000000000E+00
   69         6       128.993364        0.000000000000E+00
   70         1        33.631695        0.109056698304E-03
   70         2        25.308928        0.000000000000E+00
   70         3        25.308928        0.000000000000E+00
   70         4       153.189353        0.113164597210E-04
   70         5       128.942970        0.000000000000E+00
   70         6       128.942970        0.000000000000E+00
   71         1        34.106047        0.105848569538E-03
   71         2        25.661142        0.000000000000E+00
   71         3        25.661142        0.000000000000E+00
   71         4       153.510208        0.106839030806E-04
   71         5       128.891062        0.000000000000E+00
   71         6       128.891062        0.000000000000E+00
   72         1        34.579928        0.102758782688E-03
   72         2        26.012759        0.000000000000E+00
   72         3        26.012759        0.000000000000E+00
   72         4       153.822353        0.100888553116E-04
   72         5       128.837686        0.000000000000E+00
   72         6       128.837686        0.000000000000E+00
   73         1        35.053332        0.997786253974E-04
   73         2        26.363775        0.000000000000E+00
   73         3        26.363775        0.000000000000E+00
   73         4       154.125685        0.952858002077E-05
   73         5       128.782891        0.000000000000E+00
   73         6       128.782891        0.000000000000E+00
   74         1        35.526256        0.969038569903E-04
   74         2        26.714183        0.000000000000E+00
   74         3        26.714183        0.000000000000E+00
   74         4       154.420113        0.900136470473E-05
   74         5       128.726728        0.000000000000E+00
   74         6       128.726728        0.000000000000E+00
   75         1        35.998697        0.941304257105E-04
   75         2        27.063979        0.000000000000E+00
   75         3        27.063979        0.000000000000E+00
   75         4       154.705560        0.850556284825E-05
   75         5       128.669251        0.000000000000E+00
   75         6       128.669251        0.000000000000E+00
   76         1        36.470651        0.914510031481E-04
   76         2        27.413156        0.000000000000E+00
   76         3        27.413156        0.000000000000E+00
   76         4       154.981964        0.803895297699E-05
   76         5       128.610515        0.000000000000E+00
   76         6       128.610515        0.000000000000E+00
   77         1        36.942114        0.888622357406E-04
   77         2        27.761711        0.000000000000E+00
   77         3        27.761711        0.000000000000E+00
   77         4       155.249274        0.760014538117E-05
   77         5       128.550580        0.000000000000E+00
   77         6       128.550580        0.000000000000E+00
   78         1        37.413082        0.863609067261E-04
   78         2        28.109637        0.000000000000E+00
   78         3        28.109637        0.000000000000E+00
   78         4       155.507452        0.718779884066E-05
   78         5       128.489505        0.000000000000E+00
   78         6       128.489505        0.000000000000E+00
   79         1        37.883551        0.839407956179E-04
   79         2        28.456930        0.000000000000E+00
   79         3        28.456930        0.000000000000E+00
   79         4       155.756476        0.680009914014E-05
   79         5       128.427352        0.000000000000E+00
   79         6       128.427352        0.000000000000E+00
   80         1        38.353517        0.815992394797E-04
   80         2        28.803585        0.000000000000E+00
   80         3        28.803585        0.000000000000E+00
   80         4       155.996332        0.643590744324E-05
   80         5       128.364185        0.000000000000E+00
   80         6       128.364185        0.000000000000E+00
   81         1        38.822976        0.793336718188E-04
   81         2        29.149596        0.000000000000E+00
   81         3        29.149596        0.000000000000E+00
   81         4       156.227020        0.609412067867E-05
   81         5       128.300070        0.000000000000E+00
   81         6       128.300070        0.000000000000E+00
   82         1        39.291923        0.771387702000E-04
   82         2        29.494959        0.000000000000E+00
   82         3        29.494959        0.000000000000E+00
   82         4       156.448552        0.577324946393E-05
   82         5       128.235073        0.000000000000E+00
   82         6       128.235073        0.000000000000E+00
   83         1        39.760355        0.750124118806E-04
